grid_lat,grid_height,nrcell_cid,nrcell_freq,cell_index,cell_type,total_avail_sample,avail_sample,avail_sample_ratio,total_thput_sample,thput_sample,thput_sample_ratio,thput_avg_dl,thput_std_dl,thput_0_dl,thput_10_dl,thput_25_dl,thput_50_dl,thput_75_dl,thput_90_dl,thput_100_dl,thput_avg_ul,thput_std_ul,thput_0_ul,thput_10_ul,thput_25_ul,thput_50_ul,thput_75_ul,thput_90_ul,thput_100_ul
40.4635,90,459,520110,5,5G,68,19,0.27941176470588236,47,17,0.3617021276595745,0.7967058823529412,0.22039210103969706,0.28,0.5728000000000001,0.792,0.824,0.848,0.9776,1.176,52.11341176470588,15.913812154887278,7.12,35.187200000000004,54.112,58.192,59.912,61.0544,61.92,
40.4635,90,721,520110,2,5G,68,16,0.23529411764705882,47,11,0.23404255319148937,0.5287272727272726,0.07239926030396986,0.424,0.424,0.46799999999999997,0.544,0.5640000000000001,0.64,0.64,29.533818181818184,8.038255507465895,21.032,21.688,22.212,25.368,36.592,41.456,41.656,
40.4635,90,700,125290,1,5G,68,0,0.0,47,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4636,90,721,520110,2,5G,57,21,0.3684210526315789,37,14,0.3783783783783784,0.5346428571428572,0.11671675552553781,0.317,0.39440000000000003,0.47600000000000003,0.552,0.578,0.6144000000000001,0.832,26.247214285714286,5.436882302236029,15.152,18.2907,25.392,25.816,30.564,32.72,34.104,
40.4636,90,317,520110,4,5G,57,3,0.05263157894736842,37,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4636,90,749,520110,3,5G,57,24,0.42105263157894735,37,16,0.43243243243243246,0.4235,0.17177820001385508,0.0,0.28400000000000003,0.366,0.408,0.484,0.608,0.808,23.82,10.539447803371864,1.456,11.952,19.162,20.78,31.344,37.144,40.928,
40.4636,90,459,520110,5,5G,57,9,0.15789473684210525,37,7,0.1891891891891892,0.7874285714285714,0.22533711706359122,0.32,0.5888,0.78,0.792,0.848,0.9856,1.144,52.817142857142855,17.002777012078024,11.456,38.264,56.816,60.368,61.18,61.784,61.904,
40.4636,90,700,125290,1,5G,57,0,0.0,37,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4638,90,721,520110,2,5G,53,22,0.41509433962264153,41,18,0.43902439024390244,0.5666666666666669,0.11260945292864577,0.2,0.5288,0.544,0.58,0.592,0.616,0.848,30.075999999999997,6.576028791502259,12.92,24.6864,26.366,29.232,35.461999999999996,37.9424,39.952,
40.4638,90,749,520110,3,5G,53,24,0.4528301886792453,41,16,0.3902439024390244,0.515,0.2581453079178469,0.248,0.268,0.392,0.456,0.59,0.632,1.392,26.334999999999997,10.409349211165893,12.096,12.532,15.356000000000002,27.384,35.036,40.676,41.64,
