grid_lon,grid_height,total_sample,total_sample_nr,nr_duration_ratio,total_sample_nr_low,nr_low_duration_ratio,total_sample_nr_mid,nr_mid_duration_ratio,nr_duration_ratio_plot
40.4639,0.0000,11.0000,10.0000,0.9091,9.0000,0.8182,1.0000,0.0909,1.0455
40.4639,30.0000,90.0000,90.0000,1.0000,0.0000,0.0000,90.0000,1.0000,1.7500
40.4639,60.0000,61.0000,61.0000,1.0000,0.0000,0.0000,61.0000,1.0000,1.7500
40.4639,90.0000,51.0000,51.0000,1.0000,0.0000,0.0000,51.0000,1.0000,1.7500
40.4639,120.0000,53.0000,53.0000,1.0000,0.0000,0.0000,53.0000,1.0000,1.7500
40.4640,0.0000,20.0000,17.0000,0.8500,16.0000,0.8000,1.0000,0.0500,0.9167
40.4640,30.0000,81.0000,81.0000,1.0000,0.0000,0.0000,81.0000,1.0000,1.7500
40.4640,60.0000,59.0000,59.0000,1.0000,0.0000,0.0000,59.0000,1.0000,1.7500
40.4640,90.0000,55.0000,55.0000,1.0000,0.0000,0.0000,55.0000,1.0000,1.7500
40.4640,120.0000,56.0000,56.0000,1.0000,0.0000,0.0000,56.0000,1.0000,1.7500
40.4641,0.0000,18.0000,16.0000,0.8889,15.0000,0.8333,1.0000,0.0556,0.9815
40.4641,30.0000,83.0000,83.0000,1.0000,0.0000,0.0000,83.0000,1.0000,1.7500
40.4641,60.0000,76.0000,76.0000,1.0000,0.0000,0.0000,76.0000,1.0000,1.7500
40.4641,90.0000,42.0000,40.0000,0.9524,0.0000,0.0000,40.0000,0.9524,1.2649
40.4641,120.0000,61.0000,60.0000,0.9836,0.0000,0.0000,60.0000,0.9836,1.4600
40.4642,0.0000,15.0000,13.0000,0.8667,13.0000,0.8667,0.0000,0.0000,0.9444
40.4642,30.0000,79.0000,79.0000,1.0000,0.0000,0.0000,79.0000,1.0000,1.7500
40.4642,60.0000,123.0000,123.0000,1.0000,0.0000,0.0000,123.0000,1.0000,1.7500
40.4642,90.0000,42.0000,42.0000,1.0000,0.0000,0.0000,42.0000,1.0000,1.7500
40.4642,120.0000,52.0000,52.0000,1.0000,0.0000,0.0000,52.0000,1.0000,1.7500
40.4643,0.0000,19.0000,16.0000,0.8421,15.0000,0.7895,1.0000,0.0526,0.9035
40.4643,30.0000,72.0000,72.0000,1.0000,0.0000,0.0000,72.0000,1.0000,1.7500
40.4643,60.0000,64.0000,64.0000,1.0000,0.0000,0.0000,64.0000,1.0000,1.7500
40.4643,90.0000,43.0000,43.0000,1.0000,0.0000,0.0000,43.0000,1.0000,1.7500
40.4643,120.0000,56.0000,56.0000,1.0000,0.0000,0.0000,56.0000,1.0000,1.7500
40.4644,0.0000,13.0000,11.0000,0.8462,10.0000,0.7692,1.0000,0.0769,0.9103
40.4644,30.0000,73.0000,73.0000,1.0000,0.0000,0.0000,73.0000,1.0000,1.7500
40.4644,60.0000,52.0000,52.0000,1.0000,0.0000,0.0000,52.0000,1.0000,1.7500
40.4644,90.0000,40.0000,40.0000,1.0000,0.0000,0.0000,40.0000,1.0000,1.7500
40.4644,120.0000,57.0000,56.0000,0.9825,0.0000,0.0000,56.0000,0.9825,1.4529
40.4645,0.0000,18.0000,15.0000,0.8333,14.0000,0.7778,1.0000,0.0556,0.8889
40.4645,30.0000,81.0000,81.0000,1.0000,0.0000,0.0000,81.0000,1.0000,1.7500
40.4645,60.0000,49.0000,49.0000,1.0000,0.0000,0.0000,49.0000,1.0000,1.7500
40.4645,90.0000,56.0000,56.0000,1.0000,0.0000,0.0000,56.0000,1.0000,1.7500
40.4645,120.0000,52.0000,52.0000,1.0000,0.0000,0.0000,52.0000,1.0000,1.7500
40.4646,0.0000,18.0000,16.0000,0.8889,15.0000,0.8333,1.0000,0.0556,0.9815
40.4646,30.0000,85.0000,85.0000,1.0000,0.0000,0.0000,85.0000,1.0000,1.7500
40.4646,60.0000,53.0000,53.0000,1.0000,0.0000,0.0000,53.0000,1.0000,1.7500
40.4646,90.0000,40.0000,40.0000,1.0000,0.0000,0.0000,40.0000,1.0000,1.7500
40.4646,120.0000,57.0000,57.0000,1.0000,0.0000,0.0000,57.0000,1.0000,1.7500
40.4647,0.0000,15.0000,13.0000,0.8667,12.0000,0.8000,1.0000,0.0667,0.9444
40.4647,30.0000,92.0000,92.0000,1.0000,0.0000,0.0000,92.0000,1.0000,1.7500
40.4647,60.0000,52.0000,52.0000,1.0000,0.0000,0.0000,52.0000,1.0000,1.7500
40.4647,90.0000,39.0000,39.0000,1.0000,0.0000,0.0000,39.0000,1.0000,1.7500
40.4647,120.0000,48.0000,48.0000,1.0000,0.0000,0.0000,48.0000,1.0000,1.7500
40.4648,0.0000,50.0000,48.0000,0.9600,11.0000,0.2200,37.0000,0.7400,1.3125
40.4648,30.0000,95.0000,95.0000,1.0000,0.0000,0.0000,95.0000,1.0000,1.7500
40.4648,60.0000,49.0000,49.0000,1.0000,0.0000,0.0000,49.0000,1.0000,1.7500
40.4648,90.0000,35.0000,35.0000,1.0000,0.0000,0.0000,35.0000,1.0000,1.7500
40.4648,120.0000,53.0000,53.0000,1.0000,0.0000,0.0000,53.0000,1.0000,1.7500
40.4649,0.0000,16.0000,13.0000,0.8125,13.0000,0.8125,0.0000,0.0000,0.8542
40.4649,30.0000,131.0000,131.0000,1.0000,0.0000,0.0000,131.0000,1.0000,1.7500
40.4649,60.0000,46.0000,46.0000,1.0000,0.0000,0.0000,46.0000,1.0000,1.7500
40.4649,90.0000,36.0000,36.0000,1.0000,0.0000,0.0000,36.0000,1.0000,1.7500
40.4649,120.0000,55.0000,55.0000,1.0000,0.0000,0.0000,55.0000,1.0000,1.7500
40.4650,0.0000,15.0000,14.0000,0.9333,13.0000,0.8667,1.0000,0.0667,1.1667
40.4650,30.0000,192.0000,192.0000,1.0000,0.0000,0.0000,192.0000,1.0000,1.7500
40.4650,60.0000,42.0000,42.0000,1.0000,0.0000,0.0000,42.0000,1.0000,1.7500
40.4650,90.0000,29.0000,29.0000,1.0000,0.0000,0.0000,29.0000,1.0000,1.7500
40.4650,120.0000,62.0000,62.0000,1.0000,0.0000,0.0000,62.0000,1.0000,1.7500
40.4651,0.0000,15.0000,12.0000,0.8000,11.0000,0.7333,1.0000,0.0667,0.8333
40.4651,30.0000,82.0000,82.0000,1.0000,0.0000,0.0000,82.0000,1.0000,1.7500
40.4651,60.0000,38.0000,38.0000,1.0000,0.0000,0.0000,38.0000,1.0000,1.7500
