column,rsrq,cause
4,-30.0,noloop
4,-10.47,noloop
4,-10.635000000000002,noloop
4,-30.0,noloop
4,-10.375,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.38,noloop
4,-30.0,noloop
4,-23.16,noloop
4,-10.37,noloop
4,-30.0,noloop
4,-10.49,noloop
4,-30.0,noloop
4,-21.66,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.34,noloop
4,-24.83,noloop
4,-10.52,noloop
4,-30.0,noloop
4,-25.65,noloop
4,-10.34,noloop
4,-10.395,noloop
4,-30.0,noloop
4,-28.98,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.3,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-23.93,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.43,noloop
4,-30.0,noloop
4,-10.26,noloop
4,-30.0,noloop
4,-28.785,noloop
4,-10.46,noloop
4,-30.0,noloop
4,-10.49,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.445,noloop
4,-30.0,noloop
4,-10.44,noloop
4,-30.0,noloop
4,-10.59,noloop
4,-30.0,noloop
4,-22.64,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-22.105,noloop
4,-10.49,noloop
4,-30.0,noloop
4,-23.535,noloop
4,-10.485,noloop
4,-42.97,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-23.56,noloop
4,-10.47,noloop
4,-21.53,noloop
4,-10.32,noloop
4,-38.09,noloop
4,-10.535,noloop
4,-10.34,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-21.175,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.51,noloop
4,-30.0,noloop
4,-30.34,noloop
4,-10.43,noloop
4,-30.0,noloop
4,-10.475,noloop
4,-10.63,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.27,noloop
4,-30.0,noloop
4,-10.33,noloop
4,-30.0,noloop
4,-10.64,noloop
4,-30.0,noloop
4,-10.535,noloop
4,-30.0,noloop
4,-26.15,noloop
4,-10.485,noloop
4,-30.0,noloop
4,-10.45,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-23.835,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.38,noloop
4,-42.465,noloop
4,-10.36,noloop
4,-30.0,noloop
4,-30.65,noloop
4,-10.37,noloop
4,-30.0,noloop
4,-10.34,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.37,noloop
4,-30.0,noloop
4,-10.4,noloop
4,-30.0,noloop
4,-10.32,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.48,noloop
4,-30.0,noloop
4,-10.41,noloop
4,-30.0,noloop
4,-10.41,noloop
4,-29.03,noloop
4,-10.34,noloop
4,-43.0,noloop
4,-10.41,noloop
4,-21.81,noloop
4,-31.78,noloop
4,-36.595,noloop
4,-38.08,noloop
4,-10.41,noloop
4,-30.0,noloop
4,-10.53,noloop
4,-30.0,noloop
4,-21.225,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.62,noloop
4,-30.0,noloop
4,-10.475,noloop
4,-30.0,noloop
4,-10.435,noloop
4,-33.95,noloop
4,-30.0,noloop
4,-21.45,noloop
4,-10.42,noloop
4,-10.35,noloop
4,-10.38,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.3,noloop
4,-30.0,noloop
4,-26.2,noloop
4,-10.38,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.46,noloop
4,-30.0,noloop
4,-22.835,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.4,noloop
4,-10.4,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.38,noloop
4,-10.38,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.36,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-27.18,noloop
4,-10.27,noloop
4,-30.0,noloop
4,-26.695,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.52,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-21.27,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.39,noloop
4,-22.09,noloop
4,-10.41,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.4,noloop
4,-29.63,noloop
4,-10.38,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-25.3,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.36,noloop
4,-30.0,noloop
4,-10.39,noloop
4,-30.0,noloop
4,-21.59,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.55,noloop
4,-30.0,noloop
4,-23.005,noloop
4,-10.595,noloop
4,-21.36,noloop
4,-10.455,noloop
4,-30.0,noloop
4,-10.28,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.44,noloop
4,-10.455,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.55,noloop
4,-30.0,noloop
4,-10.34,noloop
4,-30.0,noloop
4,-10.55,noloop
4,-30.0,noloop
4,-10.53,noloop
4,-30.0,noloop
4,-26.58,noloop
4,-10.34,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.46,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.41,noloop
4,-22.27,noloop
4,-22.92,noloop
4,-10.525,noloop
4,-30.0,noloop
4,-10.4,noloop
4,-10.3,noloop
4,-30.0,noloop
4,-10.59,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.55,noloop
4,-30.0,noloop
4,-10.62,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-22.745,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.46,noloop
4,-10.46,noloop
4,-10.55,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.46,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.55,noloop
4,-28.77,noloop
4,-10.45,noloop
4,-10.47,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-23.59,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.39,noloop
4,-10.38,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.485,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-22.0,noloop
4,-21.995,noloop
4,-10.48,noloop
4,-10.59,noloop
4,-30.0,noloop
4,-43.0,noloop
4,-43.0,noloop
4,-30.0,noloop
4,-10.63,noloop
4,-10.355,noloop
4,-10.35,noloop
