grid_lat,grid_lon,grid_height,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,total_avail_sample,avail_sample,avail_sample_ratio,total_thput_sample,thput_sample,thput_sample_ratio,thput_avg_dl,thput_std_dl,thput_0_dl,thput_10_dl,thput_25_dl,thput_50_dl,thput_75_dl,thput_90_dl,thput_100_dl,thput_avg_ul,thput_std_ul,thput_0_ul,thput_10_ul,thput_25_ul,thput_50_ul,thput_75_ul,thput_90_ul,thput_100_ul
-86.9165,40.4645,0,453,1200,71,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,320,4,0.0125,236,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.4645,0,248,1001,210,125290,68,66736,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,320,22,0.06875,236,21,0.08898305084745763,0.3367959183673469,0.0820982791957123,0.172,0.256,0.285,0.317,0.3782857142857143,0.43,0.518,13.870863945578229,3.69473538978596,1.481,11.349,12.102,14.033,15.738,17.570285714285713,20.098285714285712,
-86.9165,40.4645,0,248,1001,71,125290,68,66736,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,320,25,0.078125,236,22,0.09322033898305085,0.338409090909091,0.1344403385512912,0.052,0.2127,0.26875000000000004,0.3215,0.37825,0.5017,0.7051428571428571,12.259103896103897,3.9434611807174242,0.467,8.154857142857143,10.876000000000001,12.993500000000001,14.68575,16.445800000000002,17.807,
-86.9165,40.4645,0,248,1001,71,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,320,13,0.040625,236,12,0.05084745762711865,0.06798809523809525,0.018249448629573624,0.04,0.0492,0.05625,0.06721428571428573,0.07285714285714286,0.08764285714285715,0.112,2.5075833333333337,0.5961314870548918,1.443,1.9022428571428571,2.145607142857143,2.493785714285714,2.79925,3.403,3.612,
-86.9165,40.4645,0,248,1001,210,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,320,24,0.075,236,22,0.09322033898305085,0.09316738816738818,0.034428054408140625,0.027,0.05978571428571428,0.07225,0.086,0.10975,0.1348,0.189,3.6860137085137086,1.2405720240456666,0.629,2.4381444444444442,2.9644285714285714,3.41,4.83725,5.372971428571429,5.747,
-86.9165,40.4645,0,248,1001,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,320,12,0.0375,236,11,0.046610169491525424,0.3031948051948052,0.10843193829324779,0.12114285714285714,0.151,0.23585714285714288,0.335,0.354,0.4022857142857143,0.491,12.527857142857142,4.608448578084171,4.199,5.856,9.4765,14.334857142857143,15.6785,16.655,18.404571428571426,
-86.9165,40.4645,0,248,1001,452,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,320,4,0.0125,236,3,0.012711864406779662,0.03966666666666666,0.00946337971105226,0.032,0.0324,0.033,0.034,0.0435,0.0492,0.053,1.6586666666666667,0.5540278773571676,0.934,1.0998,1.3485,1.763,2.021,2.1757999999999997,2.279,
-86.9165,40.4645,0,248,1001,700,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,320,8,0.025,236,8,0.03389830508474576,0.0691607142857143,0.034701749463338684,0.017,0.0323,0.040464285714285717,0.06985714285714287,0.09017857142857143,0.10579999999999999,0.134,2.877660714285714,1.3960741474546854,0.577,1.0034999999999998,2.0028214285714285,2.9195714285714285,4.193642857142857,4.5227,4.543,
-86.9165,40.4645,0,68,1200,700,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,320,3,0.009375,236,2,0.00847457627118644,0.247,0.21300000000000002,0.034,0.0766,0.1405,0.247,0.35350000000000004,0.41740000000000005,0.46,8.022,7.757999999999999,0.264,1.8156,4.143,8.021999999999998,11.901,14.2284,15.78,
-86.9165,40.4645,0,68,1200,210,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,320,2,0.00625,236,2,0.00847457627118644,0.07314285714285715,0.04114285714285715,0.032,0.04022857142857143,0.052571428571428575,0.07314285714285715,0.09371428571428572,0.10605714285714286,0.1142857142857143,2.1369285714285713,0.9419285714285713,1.195,1.3833857142857142,1.6659642857142858,2.1369285714285713,2.6078928571428572,2.8904714285714284,3.0788571428571427,
